year,total_investment,state_owned_units,collective_owned_units,individual_economy,others,urban,rural
1978,41.87,29.27,8.42,1.78,4.18,3.98,Others
1979,61.35,31.62,18.97,1.55,10.76,10.41,Others
1980,69.97,35.83,22.24,3.12,11.9,11.47,Others
1981,79.6,29.63,32.08,3.27,17.89,17.28,Others
1982,85,43.29,23.38,4.38,18.33,17.46,Others
1983,96.46,49.11,19.19,3.76,28.16,26.48,Others
1984,140.15,67.09,25.29,5.01,47.77,44.43,Others
1985,194.33,100.42,30.21,8.64,63.7,58.51,Others
1986,223.08,121.95,43.09,11.95,58.04,52.32,Others
1987,297.77,155.65,78.75,17.84,63.37,56.05,Others
1988,369.82,192.2,100.97,35.46,76.65,64.83,Others
1989,305.54,162.3,69.68,19.68,73.56,62,Others
1990,335.66,185.44,71.51,18.63,78.71,67.47,Others
1991,439.82,234.04,104.73,25.06,101.05,85.73,Others
1992,601.5,343.17,186.43,42.27,71.9,54.19,Others
1993,892.48,476.26,245.9,49.9,105.44,83.05,64.88
1994,1108,537.59,318.42,56.42,118.45,92.3,133.54
1995,1320.97,611.92,383.97,51.62,140.54,113.13,184.55
1996,1558.01,691.76,484.79,79.79,202.65,166.14,178.81
1997,1792.22,773.3,569.7,60.15,241.76,198.68,207.46
1998,2056.97,938.73,610.2,66.7,274.2,227,233.84
1999,2222.17,1043.13,635.55,82.72,310.64,228.43,232.85
2000,2542.65,1153.65,679.48,108.63,353.93,254.11,355.59
2001,2807.79,1157.44,688.61,134.92,384.06,263.35,577.68
2002,3509.29,1237.16,812.65,196.78,487.31,285.64,972.17
2003,5328.44,1615.57,1177,321.79,733.64,296.03,1802.23
2004,7629.04,1762.29,2455.86,383.83,772.28,116.36,2638.61
2005,10541.87,1853.29,1042.41,620.23,2736.61,1491.55,4909.56
2006,11136.06,1855.41,1063.61,713.49,3096.56,1186.2,5120.48
2007,12537.02,1838.55,1269.64,857.34,3566.49,1141.34,5862.34
2008,15435.93,2431.5391,1811.2253,1333.2312,4360.8981,1304.0237,6832.267
2009,19030.97,3086.82,2308.54,1717.74,5235.29,1586.71,8400.32
2010,23276.6893,3648.447,2627.3225,1841.4004,6505.0014,1822.9909,10495.9184
